NodeNo	x	y	T	qx	qy
443	0.718750	0.468750	83.548467	2090.829336	-4971.730598
444	0.656250	0.406250	82.660776	1869.453136	-4677.607277
445	0.718750	0.531250	85.145204	2038.302042	-5251.954978
446	0.687500	0.500000	84.648508	1930.710777	-5082.426838
447	0.656250	0.531250	85.739532	1765.397994	-5180.655121
448	0.656250	0.468750	84.160833	1828.313744	-4925.365759
449	0.656250	0.593750	87.399076	1674.717777	-5442.023367
450	0.625000	0.562500	86.818817	1596.886577	-5265.060305
451	0.625000	0.437500	83.681081	1729.771627	-4779.138074
452	0.718750	0.593750	86.831667	1956.703508	-5545.867183
453	0.718750	0.656250	88.612036	1836.158026	-5851.983384
454	0.687500	0.625000	87.995935	1754.134643	-5636.476760
455	0.718750	0.718750	90.489579	1633.393953	-6096.337067
456	0.656250	0.656250	89.140961	1520.420302	-5650.284012
457	0.593750	0.468750	84.694514	1587.243372	-4871.205539
458	0.593750	0.531250	86.252860	1519.904997	-5102.807265
459	0.562500	0.500000	85.699193	1443.236877	-4953.051206
460	0.593750	0.593750	87.883801	1400.176500	-5287.708715
461	0.531250	0.531250	86.693362	1272.594929	-4983.230449
462	0.906250	0.968750	98.486127	831.639971	-9688.784895
463	0.843750	0.968750	98.675182	488.232718	-8478.832289
464	0.875000	0.937500	97.205209	1175.390086	-8802.851920
465	0.781250	0.968750	98.798690	335.412971	-7688.385068
466	0.843750	0.906250	96.080944	1334.004717	-8124.293843
467	0.718750	0.968750	98.887773	248.813438	-7118.252408
468	0.750000	0.937500	97.699239	564.110839	-7321.552541
469	0.718750	0.906250	96.683226	719.703228	-6990.850712
